target_name,xco2,latitude,longitude,datetime,tag,location_1,city_country,country,city
b'fossil_Abu_Dhabi_UAE',411.950531,24.13073848,54.18063088,12/2/19 9:28,b'fossil,Abu_Dhabi_UAE',Abu_Dhabi_UAE,UAE,Abu_Dhabi
b'fossil_Ad_Damman_Saudi_Arabia',409.8683167,26.20162476,49.64826001,10/9/19 7:21,b'fossil,Ad_Damman_Saudi_Arabia',Ad_Damman_Saudi_Arabia,Saudi_Arabia,Ad_Damman
b'fossil_Adelaide_Australia',408.9055328,-34.88572208,138.5711484,9/23/19 4:12,b'fossil,Adelaide_Australia',Adelaide_Australia,Australia,Adelaide
b'fossil_Ahmadabad_India',410.0808411,23.73693666,71.92324315,12/22/19 9:37,b'fossil,Ahmadabad_India',Ahmadabad_India,India,Ahmadabad
b'fossil_Al-Ahmadi_Kuwait',407.8671265,28.4758751,47.1653438,10/12/19 6:32,b'fossil,Al-Ahmadi_Kuwait',Al-Ahmadi_Kuwait,Kuwait,Al-Ahmadi
b'fossil_Al_Ahmadi_Kuwait',408.5321655,28.71974823,47.48835911,10/8/19 8:10,b'fossil,Al_Ahmadi_Kuwait',Al_Ahmadi_Kuwait,Kuwait,Al_Ahmadi
b'fossil_Almaty_Kazakhstan',408.2819977,43.27211371,76.62865271,10/13/19 5:51,b'fossil,Almaty_Kazakhstan',Almaty_Kazakhstan,Kazakhstan,Almaty
b'fossil_Ashgabat_Turkmenistan',407.7342224,37.85157878,58.06680962,10/8/19 8:13,b'fossil,Ashgabat_Turkmenistan',Ashgabat_Turkmenistan,Turkmenistan,Ashgabat
b'fossil_Astana_Kazakhstan',408.6381531,51.31249322,71.10419628,10/15/19 7:27,b'fossil,Astana_Kazakhstan',Astana_Kazakhstan,Kazakhstan,Astana
b'fossil_Baghdad_Iraq',408.2020874,33.19315033,44.16622773,10/7/19 8:58,b'fossil,Baghdad_Iraq',Baghdad_Iraq,Iraq,Baghdad
b'fossil_Baotou_China',409.9767761,40.62119163,109.6313881,10/8/19 5:08,b'fossil,Baotou_China',Baotou_China,China,Baotou
b'fossil_Beijing_China',413.9494629,39.83265377,115.8935261,10/9/19 4:21,b'fossil,Beijing_China',Beijing_China,China,Beijing
b'fossil_Benha_Egypt',408.1816101,30.22574578,30.77065196,10/9/19 8:55,b'fossil,Benha_Egypt',Benha_Egypt,Egypt,Benha
b'fossil_Bogota_Colombia',409.7174988,4.778598785,-73.96134567,10/7/19 15:02,b'fossil,Bogota_Colombia',Bogota_Colombia,Colombia,Bogota
b'fossil_Brisbane_Australia',409.9594116,-27.28543175,152.8029879,9/13/19 22:31,b'fossil,Brisbane_Australia',Brisbane_Australia,Australia,Brisbane
b'fossil_Bucharest_Romania',408.1051941,44.32165714,25.9036865,10/12/19 9:45,b'fossil,Bucharest_Romania',Bucharest_Romania,Romania,Bucharest
b'fossil_Budapest_Hungary',409.6685638,47.37064697,18.57738942,10/13/19 10:32,b'fossil,Budapest_Hungary',Budapest_Hungary,Hungary,Budapest
b'fossil_Buenos_Aires_Argentina',408.9176941,-34.88869248,-58.67762525,9/18/19 18:58,b'fossil,Buenos_Aires_Argentina',Buenos_Aires_Argentina,Argentina,Buenos_Aires
b'fossil_Cape_Town_South_Africa',412.3185425,-33.86478398,18.64757068,9/14/19 7:50,b'fossil,Cape_Town_South_Africa',Cape_Town_South_Africa,South_Africa,Cape_Town
b'fossil_Chennai_India',407.5292053,13.1279001,80.1159958,10/8/19 4:59,b'fossil,Chennai_India',Chennai_India,India,Chennai
b'fossil_Cleveland_USA',409.4546509,41.05508096,-82.20519015,10/15/19 15:04,b'fossil,Cleveland_USA',Cleveland_USA,USA,Cleveland
b'fossil_Cologne_Germany',407.9762573,50.67925317,6.341431267,10/13/19 12:07,b'fossil,Cologne_Germany',Cologne_Germany,Germany,Cologne
b'fossil_Denver_USA',407.9781952,39.45911975,-105.1828095,10/8/19 19:03,b'fossil,Denver_USA',Denver_USA,USA,Denver
b'fossil_Detroit_USA',411.4319305,42.26282528,-83.77673264,10/7/19 18:19,b'fossil,Detroit_USA',Detroit_USA,USA,Detroit
b'fossil_Doha_Qatar',407.6885071,25.2978528,51.34983014,10/13/19 5:44,b'fossil,Doha_Qatar',Doha_Qatar,Qatar,Doha
b'fossil_Dubai_UAE',407.7073669,25.1058143,55.29156886,10/10/19 6:33,b'fossil,Dubai_UAE',Dubai_UAE,UAE,Dubai
b'fossil_Durban_South_Africa',408.5401306,-30.20800622,30.57939786,9/20/19 12:48,b'fossil,Durban_South_Africa',Durban_South_Africa,South_Africa,Durban
b'fossil_Esfahan_Iran',412.072937,33.0778429,51.070715,12/24/19 9:32,b'fossil,Esfahan_Iran',Esfahan_Iran,Iran,Esfahan
b'fossil_Fremantle_Australia',408.9827271,-31.95758199,115.9095049,9/19/19 7:22,b'fossil,Fremantle_Australia',Fremantle_Australia,Australia,Fremantle
b'fossil_Guadalajara_Mexico',408.2552185,20.81961467,-103.3651422,10/8/19 17:24,b'fossil,Guadalajara_Mexico',Guadalajara_Mexico,Mexico,Guadalajara
b'fossil_Guangzhou_China',411.2704468,22.6971827,112.7991259,10/12/19 1:52,b'fossil,Guangzhou_China',Guangzhou_China,China,Guangzhou
b'fossil_Hanoi_Vietnam',408.0222473,20.78800459,105.5314273,10/11/19 2:39,b'fossil,Hanoi_Vietnam',Hanoi_Vietnam,Vietnam,Hanoi
b'fossil_Harbin_China',409.4437561,45.68484889,126.3015064,10/9/19 4:23,b'fossil,Harbin_China',Harbin_China,China,Harbin
b'fossil_Ho_Chi_Minh_City_Vietnam',412.0697937,11.66672856,106.2273581,12/22/19 8:09,b'fossil,Ho_Chi_Minh_City_Vietnam',Ho_Chi_Minh_City_Vietnam,Vietnam,Ho_Chi_Minh_City
b'fossil_Hong_Kong_China',412.5428467,22.56175972,113.9862182,11/30/19 6:25,b'fossil,Hong_Kong_China',Hong_Kong_China,China,Hong_Kong
b'fossil_Huhot_China',414.5463867,25.19510516,118.8642545,12/22/19 6:33,b'fossil,Huhot_China',Huhot_China,China,Huhot
b'fossil_Istanbul_Turkey',409.0101166,40.8326958,29.10475319,10/10/19 9:45,b'fossil,Istanbul_Turkey',Istanbul_Turkey,Turkey,Istanbul
b'fossil_Jinan_China',415.3638916,37.53229291,118.4367488,12/6/19 4:52,b'fossil,Jinan_China',Jinan_China,China,Jinan
b'fossil_Johannesburg_South_Africa',411.1414948,-26.36612183,27.81086302,9/19/19 13:35,b'fossil,Johannesburg_South_Africa',Johannesburg_South_Africa,South_Africa,Johannesburg
b'fossil_Karachi_Pakistan',407.5383301,25.0850632,67.13862352,10/8/19 6:36,b'fossil,Karachi_Pakistan',Karachi_Pakistan,Pakistan,Karachi
b'fossil_Khartoum_Sudan',411.2765503,15.74440483,32.4590295,12/22/19 12:46,b'fossil,Khartoum_Sudan',Khartoum_Sudan,Sudan,Khartoum
b'fossil_Kolkata_India',405.6733398,22.73688515,88.39081807,10/12/19 3:24,b'fossil,Kolkata_India',Kolkata_India,India,Kolkata
b'fossil_Lahore_Pakistan',409.093338,31.45095254,74.14994431,10/8/19 6:38,b'fossil,Lahore_Pakistan',Lahore_Pakistan,Pakistan,Lahore
b'fossil_Lima_Peru',406.3945618,-12.15984413,-76.72965676,9/13/19 13:11,b'fossil,Lima_Peru',Lima_Peru,Peru,Lima
b'fossil_London_UK',408.0757904,51.26982274,-2.203126963,10/15/19 12:06,b'fossil,London_UK',London_UK,UK,London
b'fossil_Manila_Philippines',408.8379517,14.45486806,120.9142263,10/7/19 2:41,b'fossil,Manila_Philippines',Manila_Philippines,Philippines,Manila
b'fossil_Mashhad_Iran',408.4963379,36.19926378,59.23842693,10/16/19 4:58,b'fossil,Mashhad_Iran',Mashhad_Iran,Iran,Mashhad
b'fossil_Mecca_Saudi_Arabia',407.5782166,21.45016277,39.681644,10/12/19 6:29,b'fossil,Mecca_Saudi_Arabia',Mecca_Saudi_Arabia,Saudi_Arabia,Mecca
b'fossil_Medina_Saudi_Arabia',411.3781738,24.47070459,39.47504057,10/15/19 5:41,b'fossil,Medina_Saudi_Arabia',Medina_Saudi_Arabia,Saudi_Arabia,Medina
b'fossil_Melbourne_Australia',409.5496521,-37.53618964,144.7167416,9/14/19 0:08,b'fossil,Melbourne_Australia',Melbourne_Australia,Australia,Melbourne
b'fossil_Miami_USA',406.4740753,25.79768338,-80.26429367,10/11/19 15:04,b'fossil,Miami_USA',Miami_USA,USA,Miami
b'fossil_Milan_Italy',409.1287537,45.71000623,9.551335567,10/13/19 10:31,b'fossil,Milan_Italy',Milan_Italy,Italy,Milan
b'fossil_Montreal_Canada',408.7624207,45.25143856,-73.55075956,10/15/19 15:06,b'fossil,Montreal_Canada',Montreal_Canada,Canada,Montreal
b'fossil_Mumbai_India',406.4798279,19.28076681,73.09270986,10/10/19 4:59,b'fossil,Mumbai_India',Mumbai_India,India,Mumbai
b'fossil_Munich_Germany',408.2027893,47.60024071,11.02315855,10/8/19 12:57,b'fossil,Munich_Germany',Munich_Germany,Germany,Munich
b'fossil_Naples_Italy',408.6439819,40.96930025,14.43844914,10/8/19 11:20,b'fossil,Naples_Italy',Naples_Italy,Italy,Naples
b'fossil_New_Delhi_India',408.5414581,28.51891132,76.89172757,10/9/19 5:49,b'fossil,New_Delhi_India',New_Delhi_India,India,New_Delhi
b'fossil_Orlando_USA',409.9533234,28.07108498,-81.81589127,10/10/19 15:52,b'fossil,Orlando_USA',Orlando_USA,USA,Orlando
b'fossil_Osaka_Japan',409.7393799,34.09662466,134.3379287,10/6/19 3:36,b'fossil,Osaka_Japan',Osaka_Japan,Japan,Osaka
b'fossil_Peshawar_Pakistan',409.3595581,33.93254677,71.40173454,10/11/19 5:49,b'fossil,Peshawar_Pakistan',Peshawar_Pakistan,Pakistan,Peshawar
b'fossil_Phoenix_USA',408.7497559,33.25948129,-112.2456642,10/8/19 19:01,b'fossil,Phoenix_USA',Phoenix_USA,USA,Phoenix
b'fossil_Pittsburgh_USA',409.3745117,40.1151258,-80.47245027,10/8/19 17:31,b'fossil,Pittsburgh_USA',Pittsburgh_USA,USA,Pittsburgh
b'fossil_Portland_USA',408.6573944,45.29788055,-123.0654314,10/11/19 19:49,b'fossil,Portland_USA',Portland_USA,USA,Portland
b'fossil_Prague_Czech_Republic',408.5923462,50.01745206,14.02260009,10/11/19 12:09,b'fossil,Prague_Czech_Republic',Prague_Czech_Republic,Czech_Republic,Prague
b'fossil_Pune_India',406.0421448,18.5135732,73.71919197,10/14/19 3:21,b'fossil,Pune_India',Pune_India,India,Pune
b'fossil_Qingdao_China',412.8258057,36.2891945,120.1205973,10/7/19 4:22,b'fossil,Qingdao_China',Qingdao_China,China,Qingdao
b'fossil_Quanzhou_China',411.1757202,24.85960259,118.7032087,10/9/19 2:43,b'fossil,Quanzhou_China',Quanzhou_China,China,Quanzhou
b'fossil_Rome_Italy',408.3359375,41.99216539,12.92759022,10/7/19 12:09,b'fossil,Rome_Italy',Rome_Italy,Italy,Rome
