SequencesName,Daily_SIF_757nm,latitude,longitude,datetime,MeasurementMode,SimplyGoodOrBadQualityFlag,tag,location_1,city_country,country,city
b'fossil_Almaty_Kazakhstan',0.300168991,43.04052734,76.9475708,8/7/19 8:05,b'AM',0,b'fossil,Almaty_Kazakhstan',Almaty_Kazakhstan,Kazakhstan,Almaty
b'fossil_Baghdad_Iraq',0.231315613,33.13311768,44.47900391,8/8/19 8:46,b'AM',0,b'fossil,Baghdad_Iraq',Baghdad_Iraq,Iraq,Baghdad
b'fossil_Bogota_Colombia',0.168305397,4.832580566,-74.39477539,8/8/19 14:47,b'AM',0,b'fossil,Bogota_Colombia',Bogota_Colombia,Colombia,Bogota
b'fossil_Phoenix_USA',0.074824333,33.46697998,-112.791626,10/8/19 19:03,b'AM',0,b'fossil,Phoenix_USA',Phoenix_USA,USA,Phoenix
b'fossil_Portland_USA',0.090065002,45.70452881,-123.3043213,10/11/19 19:51,b'AM',0,b'fossil,Portland_USA',Portland_USA,USA,Portland
b'fossil_Montreal_Canada',0.007732391,47.2109375,-68.54003906,10/15/19 15:09,b'AM',0,b'fossil,Montreal_Canada',Montreal_Canada,Canada,Montreal
b'fossil_Ahmadabad_India',0.059027672,21.24908447,74.39404297,12/22/19 9:40,b'AM',0,b'fossil,Ahmadabad_India',Ahmadabad_India,India,Ahmadabad
b'fossil_Khartoum_Sudan',0.21683979,15.56085205,32.23010254,12/22/19 12:48,b'AM',0,b'fossil,Khartoum_Sudan',Khartoum_Sudan,Sudan,Khartoum
b'fossil_Sao_Paulo_Brazil',0.235276222,-23.30999756,-47.19451904,5/5/20 14:50,b'AM',0,b'fossil,Sao_Paulo_Brazil',Sao_Paulo_Brazil,Brazil,Sao_Paulo
b'fossil_Brisbane_Australia',0.284162521,-28.69873047,152.2317505,5/25/20 2:49,b'AM',0,b'fossil,Brisbane_Australia',Brisbane_Australia,Australia,Brisbane
b'fossil_Osaka_Japan',0.49650383,35.15863037,135.7459717,5/29/20 6:15,b'AM',0,b'fossil,Osaka_Japan',Osaka_Japan,Japan,Osaka
b'fossil_Tianjin_China',-0.072584152,38.76019287,116.887085,6/6/20 4:40,b'AM',0,b'fossil,Tianjin_China',Tianjin_China,China,Tianjin
b'fossil_Zhengzhou_China',0.151463509,35.13690186,113.7750854,6/10/20 3:04,b'AM',0,b'fossil,Zhengzhou_China',Zhengzhou_China,China,Zhengzhou
b'fossil_Tehran_Iran',0.686021805,36.34863281,51.20111084,6/14/20 12:41,b'AM',0,b'fossil,Tehran_Iran',Tehran_Iran,Iran,Tehran
b'fossil_Paris_France',0.495085716,49.36968994,3.588684082,6/18/20 9:19,b'AM',0,b'fossil,Paris_France',Paris_France,France,Paris
b'fossil_New_York_USA',0.781618118,40.79321289,-73.62054443,6/18/20 18:49,b'AM',0,b'fossil,New_York_USA',New_York_USA,USA,New_York
b'fossil_Rome_Italy',0.361989021,42.05358887,12.24462891,6/19/20 6:55,b'AM',0,b'fossil,Rome_Italy',Rome_Italy,Italy,Rome
b'fossil_Changchun_China',1.068881989,44.16387939,125.2763062,6/29/20 0:54,b'AM',0,b'fossil,Changchun_China',Changchun_China,China,Changchun
b'fossil_Bucharest_Romania',0.502316475,44.57537842,26.41003418,7/2/20 6:18,b'AM',0,b'fossil,Bucharest_Romania',Bucharest_Romania,Romania,Bucharest
b'fossil_Baghdad_Iraq',0.032037258,33.53204346,44.6343689,7/2/20 6:23,b'AM',0,b'fossil,Baghdad_Iraq',Baghdad_Iraq,Iraq,Baghdad
